family_id,source_family,scope,status,priority,coverage_rule,next_action
FAM-001,Pokémon official Japan ORAS site tree,ORAS,started,critical,"Enumerate product/update/news/campaign/system/event pages and surviving documents","Crawl every dated update entry and linked campaign page"
FAM-002,Nintendo Japan ORAS product/support/update/manual material,ORAS,started,critical,"Enumerate product, update revisions, manuals, support notices and service-termination material","Recover all intermediate update notices and version-specific manuals"
FAM-003,Pokémon.com localized ORAS pages,ORAS,started,high,"Enumerate EN/FR/DE/ES/IT localized official game pages and linked Gen VI articles","Register FR/DE/ES/IT pages and language-specific feature/event articles"
FAM-004,Nintendo regional ORAS support and manuals,ORAS,started,critical,"Enumerate North America, Europe/UK, Korea, Hong Kong/Taiwan and other supported regional official pages","Expand beyond NOA/HK into EU/KR regional support/manual/update trees"
FAM-005,Korean Nintendo/Pokémon official ORAS material,ORAS,started,critical,"Enumerate product, event, tournament, distribution, Special Demo, video and support pages","Crawl Nintendo Korea pkm_event series and Pokémon Korea official video/event traces"
FAM-006,Official Gen VI videos and presentations,ORAS,not_started,high,"Inventory launch trailers, Mega/Primal/Delta/DexNav/Contest videos and official regional uploads with dates/locales","Build video source index by market/language"
FAM-007,Official print/guidebook metadata,ORAS,started,medium,"Identify official guidebooks/manuals/strategy books and bibliographic metadata without mirroring copyrighted books","Expand JP guidebook metadata and regional publications"
FAM-008,pk3DS canonical implementation,XY+ORAS,started,critical,"Index relevant files, commits, tests, mappings and linked research","Continue only alongside broader census"
FAM-009,pk3DS historical forks/lineage,XY+ORAS,started,high,"Identify historically significant forks and changes that preserve early Gen VI discoveries","Diff SciresM and other materially divergent forks"
FAM-010,Project Shutan Gen VI wiki,Gen VI,started,critical,"Enumerate every relevant page and verify whether claims are XY-only, ORAS-applicable or common","Create page-by-page applicability/confidence index"
FAM-011,CTRMap and CTRMap-F5,XY+ORAS,started,critical,"Index world/map/script/zone/collision formats, tests and documented validation","Enumerate both repos; prioritize ORAS validation claims and tests"
FAM-012,PKHeX Gen VI implementation,XY+ORAS,not_started,critical,"Index PK6/EK6, SAV6AO, WC6, Secret Base, legality, event and save substructures","Create ORAS-focused class/file inventory"
FAM-013,Project Pokémon 3DS R&D forum,Gen VI,started,critical,"Enumerate every relevant forum page/topic/attachment/mirror including editors and format research","Crawl all forum pagination and register each distinct ORAS research thread"
